occurrenceID,plotCode,area,plateNumber,subplot,treeNumber,branchNumber,vernacularName,scientificName,x,y,dbh,TH,TBCP,TBCU,TBCD,TBHP,CBP,S1_death,S2_death,S3_death
7F441522-C4B6-4221-83A6-E4C580531909,DJ-01,核心區,15484,3,5,3,刺柏,Juniperus formosana,960,530,8.2,3,100,3,3,100,100,1,1,1
8A340F6A-CE1B-40AC-BEE4-AB019ABA3D3D,DJ-01,核心區,15485,3,5,4,刺柏,Juniperus formosana,960,530,2.5,2,100,2,2,100,100,1,1,1
D2B64A8C-709D-41F2-939B-EA8AF0E91223,DJ-01,核心區,15492,4,1,1,臺灣二葉松,Pinus taiwanensis,650,450,12.8,7.5,100,6,6,80,90,1,1,1
561316C7-6313-4E94-903D-7BCB4EBAE679,DJ-01,核心區,15498,4,2,1,臺灣二葉松,Pinus taiwanensis,920,110,6.3,3,100,3,3,100,100,1,1,1
D1C1FAEC-2336-4A7D-9B0E-24078D4D95DE,DJ-01,核心區,15499,4,2,2,臺灣二葉松,Pinus taiwanensis,920,110,18.5,7,100,7,7,100,99,1,1,1
4820DA55-9880-4115-B284-AFDEE60B4D36,DJ-01,核心區,15497,4,3,1,刺柏,Juniperus formosana,900,0,4.6,2.2,100,2.2,2.2,100,100,1,1,1
A4EB6764-C9DB-4C27-B35A-06BEE82CC1D3,DJ-01,核心區,15496,4,3,2,刺柏,Juniperus formosana,900,0,3,1.5,100,1.5,1.5,100,100,1,1,1
D1D3AF43-16B2-4E2F-8665-4954395C7AD4,DJ-02,核心區,15455,1,1,1,臺灣二葉松,Pinus taiwanensis,270,150,43.5,12,35,3.8,1.7,22.92,30,0,0,0
4DB51A5A-25C8-4400-A76A-295DA409F8A5,DJ-02,核心區,15452,1,2,1,臺灣二葉松,Pinus taiwanensis,190,330,30,12,30,7,1.8,36.67,70,0,1,1
FB0FADCB-3C85-4757-9E01-71AF36E64B60,DJ-02,核心區,15453,1,2,2,臺灣二葉松,Pinus taiwanensis,190,330,12.5,6.5,70,4,1.5,42.31,50,1,1,1
56E2013D-407E-40E0-A17E-9FBC3E10D8F7,DJ-02,核心區,15454,1,2,3,臺灣二葉松,Pinus taiwanensis,190,330,7.7,5.5,90,3,1.3,39.09,70,1,1,1
A9041DD7-B20B-4F91-984C-615E3ECD6C0B,DJ-02,核心區,15451,1,3,1,臺灣二葉松,Pinus taiwanensis,0,0,4.5,2.5,50,0.8,1.6,48,30,1,1,1
366AD6C9-3A9A-41FD-8F39-1207EA147399,DJ-02,核心區,15450,2,1,1,玉山杜鵑,Rhododendron pseudochrysanthum,430,550,2.7,1.8,30,0.5,0.4,25,100,1,1,1
6D3B016B-DB14-44FE-8638-73195F28699E,DJ-02,核心區,15445,3,1,1,臺灣二葉松,Pinus taiwanensis,690,660,37.8,12,100,7,2.1,37.92,60,0,1,1
409C5ECA-9EE7-46D2-B5F9-B95A1C96D9A4,DJ-02,核心區,15446,3,1,1,臺灣二葉松,Pinus taiwanensis,690,660,16.2,4,100,3.5,1.6,63.75,70,1,1,1
BF7DC764-96C7-4CE4-804D-48F4D92BA2F0,DJ-02,核心區,15447,3,2,1,臺灣二葉松,Pinus taiwanensis,800,530,39.4,14,60,7,3,35.71,65,0,0,1
7B858339-A212-475F-8688-ABDBDD4220E5,DJ-02,核心區,15448,3,2,2,臺灣二葉松,Pinus taiwanensis,800,530,17,6,55,6,1.8,65,60,1,1,1
93717048-B328-4F07-A566-B56B8BD8FE97,DJ-02,核心區,15449,3,3,1,刺柏,Juniperus formosana,800,600,2.4,1.7,100,1.7,1.7,100,100,1,1,1
